capital,lattitude,longitude,state,population
Vishakhapatnam,17.6868,83.2185,Andhra Pradesh,2331000
Itanagar,27.0844,93.6053,Arunachal Pradesh,81000
Dispur,26.1433,91.7898,Assam,706031
Patna,25.5941,85.1376,Bihar,2580000
Chandigarh,30.7333,76.7794,Chandigarh,1215000
Raipur,21.2514,81.6296,Chhattisgarh,1392000
New Delhi,28.6139,77.209,Delhi,15217000
Panaji,15.4909,73.8278,Goa,157000
Gandhinagar,23.2156,72.6369,Gujarat,284000
Shimla,31.1048,77.1734,Himachal Pradesh,232000
Srinagar,34.0837,74.7973,Jammu and Kashmir,1627000
Ranchi,23.3441,85.3096,Jharkhand,1479000
Bangalore,12.9716,77.5946,Karnataka,13608000
Thiruvananthapuram,8.5241,76.9366,Kerala,1023000
Bhopal,23.2599,77.4126,Madhya Pradesh,2479000
Mumbai,19.076,72.8777,Maharashtra,21297000
Imphal,24.817,93.9368,Manipur,629000
Shillong,25.5788,91.8933,Meghalaya,196000
Aizawl,23.7307,92.7173,Mizoram,403000
Kohima,25.6751,94.1086,Nagaland,672700
Bhubaneshwar,20.2961,85.8245,Odisha,1258000
Jaipur,26.9124,75.7873,Rajasthan,4200000
Gangtok,27.3314,88.6138,Sikkim,136000
Chennai,13.0827,80.2707,Tamil Nadu,11933000
Hyderabad,17.385,78.4867,Telangana,10801000
Agartala,23.8315,91.2868,Tripura,551000
Lucknow,26.8467,80.9462,Uttar Pradesh,3945000
Dehradun,30.3165,78.0322,Uttarakhand,992000
Kolkata,22.5726,88.3639,West Bengal,15333000